Invoice Number,Shipping Location,Contended Invoice,Invoice Date,Product Type,Ordered Date
102545278363,Europe,,2022-10-05,Power,2022-10-01
240575758735,North America,,2022-08-18,Power,2022-08-03
918052223589,South America,,2022-07-07,Others,2022-06-29
213005811036,North America,,2022-09-17,Others,2022-08-15
922429980598,North America,,2022-07-08,Power,2022-06-10
146739682237,North America,,2022-06-11,Lighting,2022-05-06
167612570736,South America,,2023-02-19,Power,2023-01-24
282714671444,North America,,2023-03-06,Lighting,2023-01-26
297633788420,Europe,,2023-02-22,Others,2023-01-22
739165083032,Europe,,2022-04-15,Power,2022-04-07
453986027159,Europe,,2023-01-05,Others,2022-12-18
196245639424,North America,,2022-09-21,Power,2022-09-14
373372060477,South America,,2022-05-26,Lighting,2022-04-28
531239044130,North America,,2023-03-09,Lighting,2023-02-21
777930280062,South America,,2023-03-19,Power,2023-02-21
602712401719,South America,,2022-09-15,Power,2022-08-20
283086394322,Asia,,2022-12-13,Lighting,2022-11-22
453077225548,Europe,,2022-04-24,Chargers,2022-04-13
623769172403,North America,,2022-10-29,Others,2022-10-09
378062352610,North America,,2023-01-25,Lighting,2023-01-21
730756990185,South America,,2022-04-25,Chargers,2022-04-05
782910599470,South America,,2022-06-29,Power,2022-05-26
414420498840,South America,,2023-02-27,Chargers,2023-02-03
801484807270,Europe,,2022-06-23,Chargers,2022-06-05
201300362564,Asia,,2023-03-22,Chargers,2023-03-12
453759299061,North America,,2022-06-20,Others,2022-05-16
834018870775,South America,,2022-05-17,Others,2022-04-14
856736322043,Asia,,2023-02-20,Chargers,2023-02-01
405202231365,Europe,,2022-05-15,Lighting,2022-04-07
448058855404,North America,,2022-04-25,Chargers,2022-03-19
252435229673,South America,794937977374,2022-09-10,Lighting,2022-09-04
613283321223,Asia,,2022-07-29,Power,2022-07-04
504123542585,North America,,2023-01-21,Power,2022-12-14
302536374883,South America,,2022-10-13,Chargers,2022-09-07
354278156909,Europe,,2022-09-25,Lighting,2022-09-23
991150891021,North America,,2022-07-20,Lighting,2022-07-14
974262126665,Europe,,2022-09-07,Chargers,2022-09-01
563623604285,North America,,2022-08-08,Chargers,2022-07-28
623585425138,Asia,,2022-05-10,Others,2022-05-05
765315654258,South America,767933447329,2023-02-08,Others,2023-01-17
695783756448,South America,501486213913,2022-08-22,Chargers,2022-08-06
164178485348,South America,,2022-08-09,Others,2022-07-18
120078663861,Europe,,2022-05-25,Others,2022-05-21
387734145774,Asia,,2022-07-03,Chargers,2022-06-24
150960735966,Asia,,2022-08-20,Others,2022-08-03
360204930052,North America,,2022-09-07,Others,2022-09-03
628371274896,Europe,,2022-09-16,Power,2022-09-10
244417803978,North America,,2022-05-03,Power,2022-04-24
202328930663,South America,,2022-12-19,Others,2022-11-24
766543089992,Europe,,2023-02-07,Others,2023-01-24
300937903013,South America,,2022-08-27,Chargers,2022-08-13
838096614553,Europe,,2023-01-08,Power,2023-01-03
362514055912,Asia,,2022-12-10,Chargers,2022-11-01
104430280964,North America,,2022-08-21,Chargers,2022-07-23
125528257151,South America,,2023-03-07,Lighting,2023-01-27
995520662690,North America,,2022-07-11,Others,2022-06-24
888692318388,North America,,2022-08-02,Power,2022-07-17
500287458282,South America,,2022-08-28,Power,2022-07-22
679195623920,Europe,859448954251,2022-12-05,Others,2022-11-17
339327878359,Europe,,2022-08-03,Lighting,2022-07-20
366401110479,North America,,2023-01-08,Lighting,2022-12-27
433505035970,Asia,563065220871,2023-03-05,Lighting,2023-02-14
527558180078,North America,,2022-06-29,Lighting,2022-06-18
177829939202,Europe,,2022-08-09,Lighting,2022-08-08
879378256594,Asia,,2022-12-28,Power,2022-12-20
350497967429,North America,,2022-11-16,Chargers,2022-10-28
889738932112,Europe,,2022-04-15,Lighting,2022-03-11
894042348779,Europe,,2022-08-17,Lighting,2022-08-13
908756227031,Europe,,2023-01-07,Power,2022-12-19
573780199737,South America,,2022-05-31,Lighting,2022-04-24
339306234697,Asia,,2022-09-05,Chargers,2022-08-03
585978036214,South America,,2022-12-06,Chargers,2022-11-05
306715323711,South America,,2022-06-02,Power,2022-05-21
643762341155,South America,,2022-07-06,Chargers,2022-06-28
574915406998,Europe,,2022-12-30,Chargers,2022-12-07
682110265648,Asia,334253654049,2022-05-14,Others,2022-04-09
127813436308,North America,,2023-03-06,Lighting,2023-02-27
537369108417,Europe,,2022-12-14,Chargers,2022-11-28
586088125650,North America,,2023-01-07,Power,2022-12-30
275745254251,Asia,,2023-02-20,Others,2023-01-15
405789094149,North America,,2023-02-22,Others,2023-02-11
429978894517,North America,,2023-02-19,Lighting,2023-02-12
878538038960,Europe,943698634785,2022-12-16,Power,2022-11-21
729450692476,North America,,2022-11-14,Lighting,2022-10-06
209026063047,Asia,,2022-04-16,Others,2022-03-18
469399299011,South America,,2022-10-08,Others,2022-09-18
829615952306,Asia,,2022-08-06,Chargers,2022-08-01
159019057707,North America,,2023-03-23,Power,2023-02-24
119501263342,North America,,2022-11-06,Lighting,2022-11-01
834108861479,North America,,2022-12-30,Chargers,2022-12-12
504113883094,Asia,,2022-05-31,Lighting,2022-05-30
350960670863,Europe,,2022-09-26,Others,2022-09-13
894615935228,North America,,2023-01-24,Others,2022-12-29
372152436461,Asia,,2023-01-14,Others,2023-01-04
115597748155,North America,,2023-01-31,Chargers,2023-01-13
537664288158,North America,,2022-10-12,Chargers,2022-09-15
547973011719,Asia,,2022-07-15,Others,2022-06-22
232906434897,Asia,,2022-10-30,Others,2022-10-29
709865219829,South America,,2022-11-18,Chargers,2022-11-17
601770413512,South America,,2022-10-01,Others,2022-09-14
750008982303,Europe,,2022-05-14,Power,2022-05-04
531939237943,Europe,,2023-02-09,Others,2023-01-08
883317912584,Asia,,2022-12-05,Power,2022-12-02
534964445606,Asia,,2022-09-25,Power,2022-08-23
336984317407,Asia,,2023-02-06,Power,2023-01-25
577104944715,South America,,2022-10-10,Lighting,2022-10-05
589560951592,North America,886426352122,2023-01-18,Power,2022-12-24
525692090051,North America,,2022-05-31,Lighting,2022-05-04
187787092732,North America,,2022-08-20,Lighting,2022-07-25
286796963927,South America,,2022-07-12,Lighting,2022-06-13
462389185225,North America,,2022-09-08,Power,2022-09-06
916743036637,South America,,2022-11-18,Others,2022-11-10
819213784549,South America,,2022-07-04,Chargers,2022-06-02
316415058971,South America,,2022-07-12,Chargers,2022-07-01
869915118688,Asia,,2023-03-07,Others,2023-03-02
453264365882,Asia,,2022-06-25,Lighting,2022-05-24
830050314234,South America,,2022-06-03,Chargers,2022-05-07
920867915826,Asia,,2022-06-11,Chargers,2022-05-23
992071962684,North America,,2022-07-16,Others,2022-06-21
963883303839,Asia,,2022-04-13,Chargers,2022-03-05
825038603348,Asia,,2023-02-28,Power,2023-02-18
337398102071,South America,,2023-03-22,Others,2023-03-03
197971528715,North America,,2022-11-09,Chargers,2022-10-07
704343998173,Europe,,2022-09-26,Others,2022-09-22
982261080911,North America,,2022-06-12,Others,2022-05-18
828132305336,South America,,2022-04-21,Lighting,2022-03-22
935192517394,North America,,2022-10-10,Lighting,2022-09-18
398225100669,South America,,2022-06-13,Others,2022-06-03
701338203862,North America,,2022-08-16,Chargers,2022-07-27
763346160417,Europe,,2022-12-17,Power,2022-12-01
328183862285,Europe,,2023-01-24,Lighting,2023-01-14
768827418932,Europe,,2023-02-07,Chargers,2023-01-05
140069371891,Europe,,2022-04-22,Chargers,2022-04-08
536179175162,South America,,2023-03-03,Lighting,2023-01-29
154078755593,South America,,2023-02-21,Lighting,2023-01-23
574759498390,South America,,2022-06-26,Others,2022-06-16
664482609999,Europe,,2022-10-18,Power,2022-09-09
578096915805,Asia,,2022-06-26,Lighting,2022-06-20
126658887731,Europe,742485130317,2022-07-14,Others,2022-06-24
358048892159,Asia,,2022-04-05,Others,2022-03-26
800210470897,South America,,2022-12-21,Others,2022-12-15
356818386929,North America,,2022-05-04,Chargers,2022-04-26
611663995077,Europe,,2023-03-14,Power,2023-02-08
248176264014,South America,,2022-09-04,Others,2022-07-26
142314169399,South America,,2022-05-17,Chargers,2022-05-05
762687419262,South America,,2022-12-28,Lighting,2022-11-22
247065413435,Europe,,2023-02-02,Lighting,2023-01-18
626553774401,Europe,,2022-09-12,Others,2022-08-14
615892166058,Europe,,2022-12-12,Lighting,2022-11-18
989814555224,Asia,,2023-02-08,Power,2023-01-04
649281742402,Asia,,2022-10-20,Chargers,2022-09-29
339629316377,Europe,,2022-04-25,Power,2022-04-07
221219112956,South America,,2022-08-20,Chargers,2022-08-03
857874659612,North America,,2022-11-20,Others,2022-10-28
879902601882,Asia,,2022-09-07,Others,2022-08-10
780304399077,South America,,2022-10-20,Lighting,2022-09-20
829511234798,Europe,,2022-04-23,Power,2022-03-30
214737097373,Asia,,2022-12-10,Others,2022-10-31
536332165841,Europe,,2022-06-21,Others,2022-05-23
279998830971,South America,670644290636,2023-02-01,Others,2023-01-20
762306050745,North America,,2022-08-24,Power,2022-07-18
281619430106,Europe,,2023-02-07,Others,2023-01-19
568744661285,Europe,,2022-10-09,Power,2022-09-24
929327726231,North America,,2023-03-28,Others,2023-03-04
585295325341,Asia,,2022-04-05,Lighting,2022-03-30
542815143529,South America,582568421752,2022-06-21,Lighting,2022-05-25
679067001589,South America,,2022-10-12,Chargers,2022-09-04
909828932188,North America,,2022-05-06,Chargers,2022-04-20
295005577379,Asia,,2022-12-06,Lighting,2022-11-15
616901883182,Asia,,2023-03-29,Lighting,2023-03-15
531254633532,Europe,,2022-04-29,Others,2022-04-14
255175564864,South America,,2022-08-15,Others,2022-07-06
401563636108,South America,,2022-07-07,Power,2022-06-20
687591857003,South America,,2023-03-19,Lighting,2023-02-23
180198692044,North America,,2023-02-24,Others,2023-01-29
706966629360,Europe,,2023-02-03,Others,2023-01-10
347359450591,Europe,,2023-03-25,Lighting,2023-03-10
736747763387,South America,,2023-02-11,Lighting,2023-01-26
199127993903,Asia,,2022-08-26,Power,2022-08-16
463151565102,Europe,,2022-07-11,Lighting,2022-07-07
153777727259,North America,,2022-09-01,Power,2022-08-11
965244017362,Asia,,2022-05-01,Power,2022-04-18
198627010078,South America,,2022-12-09,Lighting,2022-12-05
747829414693,South America,,2022-06-28,Others,2022-06-04
897429975953,South America,,2022-09-15,Power,2022-08-21
788803689016,North America,,2022-12-13,Power,2022-11-09
181300618307,North America,,2022-07-07,Lighting,2022-06-15
501217600944,Europe,985335846563,2023-01-14,Power,2023-01-08
476656480669,Europe,,2022-12-24,Power,2022-12-20
313922692779,Asia,,2022-07-09,Chargers,2022-06-08
587213860865,North America,,2022-04-04,Lighting,2022-03-10
286668036651,Asia,,2022-04-07,Lighting,2022-04-01
533459612476,North America,,2022-08-15,Power,2022-07-18
938929450176,Europe,,2022-11-19,Power,2022-11-12
918360547669,North America,,2022-10-10,Others,2022-09-16
556985237630,Asia,,2022-05-15,Others,2022-04-07
492285698200,South America,,2022-04-03,Others,2022-03-15
899972012901,Europe,,2022-11-27,Power,2022-11-15
747215260358,South America,,2022-08-12,Lighting,2022-07-24
254405546157,South America,,2023-02-09,Lighting,2023-01-12
477042005925,North America,,2022-11-20,Others,2022-10-18
603617235231,North America,,2023-01-02,Lighting,2022-12-05
479477755269,North America,,2022-08-19,Others,2022-07-30
944061117146,Asia,,2022-08-19,Chargers,2022-07-26
930046376116,Asia,,2023-02-17,Lighting,2023-02-13
666724244759,Europe,,2022-07-28,Power,2022-07-02
161203613411,South America,,2022-10-02,Lighting,2022-09-27
860698361419,South America,,2023-02-02,Others,2023-01-27
585993058755,Europe,,2022-11-24,Lighting,2022-11-19
816343911930,Europe,,2022-04-05,Power,2022-03-21
233765113928,Asia,,2022-12-26,Chargers,2022-11-29
868578208920,North America,969840203191,2022-04-16,Power,2022-03-17
152732258749,South America,,2022-07-23,Lighting,2022-07-08
262357116769,North America,,2022-05-17,Others,2022-04-27
458531377860,Asia,,2022-08-29,Others,2022-08-28
264229341082,Asia,,2023-01-10,Power,2022-12-19
517514879480,North America,,2022-04-25,Chargers,2022-03-25
456161221564,South America,,2023-02-02,Power,2023-01-17
112563862746,Europe,,2022-04-14,Chargers,2022-03-18
123640337331,North America,,2023-01-10,Chargers,2022-12-22
851824329792,North America,,2022-05-06,Others,2022-04-25
920043338327,Asia,,2022-11-08,Lighting,2022-10-28
506170793794,North America,,2022-04-28,Chargers,2022-03-19
743318063573,Asia,,2022-06-24,Chargers,2022-06-04
452122051116,South America,,2022-12-16,Chargers,2022-12-12
149893474700,South America,,2023-02-02,Others,2022-12-27
326589067055,Asia,,2022-08-29,Others,2022-08-23
265858546408,North America,,2023-02-15,Lighting,2023-02-11
142197416401,North America,,2023-03-13,Power,2023-02-26
268153545132,Asia,,2023-01-03,Power,2022-12-17
138827187826,Asia,,2022-05-22,Power,2022-05-13
130838554714,Europe,,2022-09-08,Lighting,2022-07-31
866483986907,South America,,2023-02-28,Chargers,2023-02-06
213028935873,Asia,,2022-05-04,Chargers,2022-04-27
470676557619,Asia,,2022-05-24,Others,2022-04-20
676863845532,South America,,2022-10-16,Others,2022-09-17
600603232395,Asia,,2022-05-28,Others,2022-04-26
680249971785,Europe,,2023-03-11,Others,2023-02-21
790100647407,South America,,2022-07-20,Power,2022-07-03
514696047556,Asia,,2022-10-20,Power,2022-10-14
533498732168,Asia,922344210302,2022-11-10,Chargers,2022-10-12
978744948996,Asia,,2023-03-22,Power,2023-03-08
482121652724,South America,,2022-12-18,Lighting,2022-12-16
448619423323,North America,,2022-12-07,Others,2022-11-11
675595765074,Asia,,2022-10-13,Chargers,2022-09-23
124361696283,South America,,2022-11-15,Chargers,2022-10-15
940317932920,South America,,2022-07-12,Lighting,2022-06-19
568301884351,North America,,2023-03-06,Others,2023-02-05
172436518649,South America,,2023-01-26,Chargers,2022-12-20
575392838507,North America,,2022-06-18,Power,2022-06-11
661304018817,South America,,2022-09-18,Chargers,2022-08-27
904505478061,Asia,,2023-02-08,Lighting,2023-02-02
800719878505,South America,,2022-05-23,Power,2022-05-09
221120267604,Asia,,2023-03-06,Lighting,2023-02-15
354424285533,Asia,,2023-03-10,Lighting,2023-03-02
644775157666,North America,,2022-06-05,Lighting,2022-05-24
304891847946,Asia,,2023-02-20,Chargers,2023-01-18
294532545443,Asia,355709595414,2022-04-01,Others,2022-03-07
564714792994,Europe,,2022-08-18,Power,2022-07-10
306459542722,North America,,2022-09-09,Lighting,2022-09-03
974084845047,Europe,,2022-06-13,Lighting,2022-05-19
188730525815,North America,,2022-11-26,Lighting,2022-10-29
927925256246,North America,,2022-04-16,Others,2022-03-10
106065479742,Asia,,2022-10-28,Others,2022-09-27
737001230819,South America,,2022-12-02,Lighting,2022-11-09
881939853046,North America,,2022-06-08,Lighting,2022-05-11
443815923141,Europe,415357781143,2023-03-23,Power,2023-03-06
922404991366,North America,,2022-07-09,Chargers,2022-06-08
251427660614,Asia,,2022-10-12,Lighting,2022-09-03
531643807400,South America,,2022-08-11,Lighting,2022-08-05
231289748781,North America,,2022-04-04,Power,2022-03-16
331115969530,Asia,,2022-08-10,Power,2022-07-02
571352147915,South America,,2022-09-26,Lighting,2022-08-22
540837564477,Europe,,2022-12-14,Lighting,2022-12-13
630739890813,Asia,,2022-09-03,Lighting,2022-07-25
528346954491,Europe,,2023-03-31,Lighting,2023-02-25
267865116169,Europe,,2023-03-30,Lighting,2023-03-10
251678778883,Asia,,2023-01-14,Lighting,2022-12-24
244674305986,Asia,,2022-04-14,Chargers,2022-03-09
663087498340,Asia,,2022-08-12,Others,2022-07-09
178518603763,South America,,2022-05-19,Lighting,2022-05-18
710923671369,Europe,,2022-10-29,Others,2022-09-22
303899250925,North America,,2022-12-14,Chargers,2022-12-05
355081286960,North America,,2022-04-16,Chargers,2022-03-09
362135534984,North America,,2022-12-05,Power,2022-12-04
182080531371,North America,,2022-11-19,Chargers,2022-11-10
366638235535,Asia,,2022-05-30,Power,2022-04-29
882965096654,North America,,2023-03-29,Chargers,2023-03-17
750864395154,Europe,,2023-02-13,Chargers,2023-01-06
178506112523,Europe,,2022-07-08,Power,2022-06-18
981528681851,Asia,,2023-01-26,Chargers,2023-01-23
916833507379,South America,,2022-12-27,Lighting,2022-12-01
644670830741,North America,,2023-02-17,Chargers,2023-01-19
896491248519,North America,,2022-04-18,Chargers,2022-04-04
445748240233,South America,,2022-07-05,Lighting,2022-06-15
386335867650,Asia,,2022-10-07,Others,2022-09-08
857381371720,Asia,347138685081,2022-10-19,Others,2022-09-14
622971797769,South America,138018393326,2022-08-30,Power,2022-08-10
926492385843,South America,,2023-01-07,Others,2022-12-19
349803349322,Asia,,2022-04-27,Others,2022-04-25
690782512850,North America,,2023-03-15,Lighting,2023-02-14
771372352531,Europe,,2022-06-29,Chargers,2022-06-05
984837937703,North America,,2023-02-15,Others,2023-01-18
119493764317,Europe,,2023-03-03,Chargers,2023-01-24
194629691499,North America,,2022-04-24,Lighting,2022-04-05
410655177765,South America,,2023-03-10,Others,2023-02-16
575583059451,Europe,,2022-05-02,Chargers,2022-04-03
737951899427,Europe,,2022-04-09,Power,2022-03-11
610239397034,South America,,2022-12-27,Lighting,2022-12-10
481587709485,Europe,,2022-05-18,Chargers,2022-04-24
688803209228,South America,,2022-05-22,Power,2022-04-15
922024797781,Asia,,2023-03-31,Chargers,2023-03-15
193213564166,North America,,2023-01-26,Lighting,2023-01-17
695303745534,Europe,,2022-11-05,Power,2022-10-19
419259081421,North America,,2022-08-04,Chargers,2022-07-31
350253136412,South America,,2022-05-17,Chargers,2022-04-21
393338935072,South America,,2022-05-27,Others,2022-05-07
133318707161,South America,,2022-06-13,Chargers,2022-05-31
557961271958,Europe,,2022-10-28,Others,2022-10-20
301666617574,Asia,,2022-04-01,Others,2022-03-01
843490834202,Asia,,2022-05-07,Chargers,2022-04-27
479497475035,South America,,2022-04-15,Others,2022-03-29
772937784189,Asia,,2022-05-20,Others,2022-04-22
102324890191,North America,,2022-12-22,Chargers,2022-11-22
931795051271,Europe,,2022-09-21,Power,2022-09-09
699158692107,North America,,2022-04-07,Others,2022-03-24
864170077020,Asia,,2022-09-07,Chargers,2022-08-23
590494943666,North America,,2022-08-31,Lighting,2022-08-24
987179389809,South America,886985386303,2023-03-06,Lighting,2023-03-03
640355296309,Europe,,2022-09-24,Chargers,2022-09-07
660666212919,North America,,2022-11-22,Power,2022-11-02
461306831947,Asia,,2022-06-29,Others,2022-06-04
593925304135,South America,,2022-12-09,Chargers,2022-11-20
142083446820,Europe,,2022-04-18,Lighting,2022-03-09
589140662541,South America,,2023-03-06,Power,2023-02-08
363886355466,North America,,2022-10-09,Power,2022-10-02
893868659419,North America,,2022-07-03,Chargers,2022-06-12
258940905841,Asia,,2022-08-18,Chargers,2022-08-07
932174901668,South America,,2022-11-02,Others,2022-10-27
945412615122,South America,,2022-07-22,Chargers,2022-06-26
743846132758,North America,,2022-05-15,Lighting,2022-05-07
814746902990,Asia,,2022-12-17,Lighting,2022-12-11
120387488106,Europe,,2023-01-24,Others,2023-01-12
501294620210,South America,,2023-03-15,Power,2023-03-11
239379078803,Asia,,2023-01-30,Others,2023-01-15
328555496009,South America,,2022-08-29,Chargers,2022-08-13
269306755693,North America,,2022-08-13,Chargers,2022-07-04
286383440482,Europe,,2022-09-14,Chargers,2022-08-12
308647091162,South America,,2022-08-23,Lighting,2022-07-30
614986385302,Europe,,2022-09-08,Chargers,2022-09-06
587709716300,South America,,2022-08-18,Others,2022-08-07
926326494136,North America,,2022-05-08,Lighting,2022-04-18
276651260641,Europe,,2022-12-28,Lighting,2022-12-04
490405911087,South America,,2023-01-09,Chargers,2022-12-12
628963238495,South America,,2022-12-16,Power,2022-11-29
779655734276,Asia,,2022-06-03,Others,2022-05-20
661318838309,South America,,2022-12-14,Others,2022-11-18
991055726470,North America,,2022-04-25,Chargers,2022-04-14
540381684927,North America,,2022-10-12,Lighting,2022-10-11
257526347633,Europe,,2022-09-28,Others,2022-08-30
348895795458,Asia,,2022-08-24,Power,2022-08-22
448565967874,South America,,2022-06-30,Lighting,2022-06-22
777481505764,Asia,,2023-03-08,Power,2023-02-10
342751510637,Europe,,2022-08-26,Lighting,2022-08-23
567350715230,South America,,2023-01-31,Others,2023-01-23
559641794564,Asia,,2022-11-25,Lighting,2022-10-21
913612542191,North America,,2022-05-07,Chargers,2022-04-25
905640761153,North America,139786345592,2022-08-18,Chargers,2022-07-31
931777437559,Asia,147900644972,2022-09-28,Others,2022-08-25
427853729121,Asia,,2022-07-17,Lighting,2022-06-17
802075291383,Asia,,2022-05-25,Chargers,2022-04-20
462227015989,Asia,,2022-11-08,Power,2022-11-06
986241578600,Asia,,2023-03-10,Others,2023-02-24
134715762066,Asia,,2022-11-16,Others,2022-11-11
291620038507,Europe,,2023-03-14,Others,2023-02-27
242020483318,Asia,,2022-06-21,Chargers,2022-06-20
232695880134,North America,,2022-04-28,Chargers,2022-03-27
424584378379,North America,,2022-12-05,Lighting,2022-12-01
292839867777,North America,,2022-09-30,Others,2022-09-21
873222674026,Europe,,2022-10-21,Lighting,2022-09-11
152197885087,North America,,2022-10-14,Lighting,2022-10-03
400557498168,Europe,,2022-12-11,Lighting,2022-11-28
724753439752,Asia,,2022-07-04,Power,2022-07-03
889869595356,South America,,2023-03-03,Others,2023-01-23
119511953366,South America,255892745865,2022-07-03,Others,2022-06-02
693883835841,South America,,2022-05-17,Chargers,2022-04-13
731584814350,Europe,,2022-12-01,Chargers,2022-10-25
358401786325,North America,,2022-07-21,Power,2022-06-29
554046024933,North America,,2023-02-07,Others,2023-01-22
648115353426,South America,,2022-10-08,Lighting,2022-09-11
126930954453,North America,,2023-02-26,Others,2023-01-27
503057594471,Asia,,2022-12-01,Lighting,2022-10-29
836876459364,North America,,2022-08-28,Power,2022-07-27
543512851297,North America,,2022-11-29,Chargers,2022-11-11
914764681785,Europe,,2023-03-15,Power,2023-02-20
749755906589,North America,,2022-11-24,Chargers,2022-10-25
566715784482,Asia,,2022-12-23,Chargers,2022-11-18
644932354880,Europe,,2023-03-01,Chargers,2023-02-16
319011773783,North America,,2022-12-07,Power,2022-11-08
396630953962,North America,,2022-06-17,Others,2022-05-12
238840136110,Europe,,2022-08-14,Lighting,2022-08-08
954473662567,Europe,,2022-12-07,Lighting,2022-10-31
897044092050,South America,,2023-02-26,Power,2023-01-31
749202382263,Europe,,2022-11-27,Lighting,2022-10-22
982553160171,North America,,2022-08-06,Power,2022-07-17
854316850283,Asia,,2023-01-24,Lighting,2023-01-01
715697667206,Europe,,2022-10-28,Power,2022-10-04
509705045873,North America,,2022-10-28,Others,2022-09-20
585363878740,Europe,,2023-03-05,Power,2023-01-26
223499339323,Europe,,2023-03-06,Power,2023-02-25
459718580277,Europe,,2023-01-16,Chargers,2022-12-31
456641955488,North America,,2023-03-24,Lighting,2023-02-22
286293897743,Europe,,2023-01-26,Others,2023-01-21
718132436350,North America,,2022-09-27,Lighting,2022-09-06
689527511892,Asia,,2022-06-01,Others,2022-04-26
497388206787,South America,130047072998,2022-07-10,Lighting,2022-06-19
868632388672,South America,,2022-07-31,Lighting,2022-07-20
112692112112,North America,,2023-03-16,Others,2023-02-25
823585079140,North America,,2022-11-05,Lighting,2022-10-23
289418393160,South America,,2022-08-16,Lighting,2022-07-25
888290995448,Asia,,2022-08-05,Others,2022-07-11
778685612545,Europe,,2023-01-28,Others,2022-12-29
486463348112,North America,,2023-01-10,Others,2022-12-11
452037636275,South America,,2022-06-30,Lighting,2022-06-19
819989139374,Asia,,2022-04-06,Lighting,2022-03-02
293139499861,North America,,2023-03-17,Power,2023-02-23
134726040488,Asia,,2022-09-04,Others,2022-09-01
525113209392,Asia,,2022-08-17,Others,2022-08-08
683536818132,Europe,,2022-04-18,Others,2022-03-10
422192034822,North America,,2023-02-26,Chargers,2023-02-25
210184514709,South America,,2022-08-02,Others,2022-07-04
401562888495,South America,,2023-01-10,Power,2023-01-02
